experiment,fold,model,preprocess,sampling,class_weight,valid_positive_rate,accuracy,balanced_accuracy,precision,recall,f1,brier,roc_auc,pr_auc,log_loss,best_f1_threshold,best_oof_f1,oof_accuracy,oof_balanced_accuracy,oof_precision,oof_recall,oof_f1,oof_brier,oof_roc_auc,oof_pr_auc,oof_log_loss
lightgbm_missing_indicator,5,lightgbm,median_indicator,none,none,0.115995115995116,0.9181929181929182,0.656513521372492,0.9375,0.3157894736842105,0.47244094488188976,0.07366025415472924,0.8548706019191626,0.6119979850297016,0.3326802083047552,,,,,,,,,,,
lightgbm_missing_indicator,oof,lightgbm,median_indicator,none,none,0.1159384915792043,,,,,,,,,,0.105,0.5157526254375729,0.898706370515011,0.7104062890522829,0.5785340314136126,0.4652631578947368,0.5157526254375729,0.08002354087213687,0.8466279171147084,0.5617274062188257,0.35381043711144655
lightgbm_clip_p01_p99,1,lightgbm,median_clip_p01_p99,none,none,0.11585365853658537,0.9060975609756098,0.6084573502722322,0.875,0.22105263157894736,0.35294117647058826,0.0783511865964141,0.8448348457350272,0.5791898332008147,0.35075068414426536,,,,,,,,,,,
lightgbm_clip_p01_p99,2,lightgbm,median_clip_p01_p99,none,none,0.11585365853658537,0.9048780487804878,0.6260617059891107,0.7575757575757576,0.2631578947368421,0.390625,0.07879713807196428,0.8692558983666062,0.5934242710094644,0.32439237964977746,,,,,,,,,,,
lightgbm_clip_p01_p99,3,lightgbm,median_clip_p01_p99,none,none,0.115995115995116,0.9023199023199023,0.6109552195405641,0.7586206896551724,0.23157894736842105,0.3548387096774194,0.08676544531455094,0.8161529514393719,0.49383896712913655,0.40015333734802233,,,,,,,,,,,
lightgbm_clip_p01_p99,4,lightgbm,median_clip_p01_p99,none,none,0.115995115995116,0.9010989010989011,0.5965469613259669,0.7916666666666666,0.2,0.31932773109243695,0.08654740083665481,0.8202384414073859,0.49996519457562005,0.3903204385745715,,,,,,,,,,,
lightgbm_clip_p01_p99,5,lightgbm,median_clip_p01_p99,none,none,0.115995115995116,0.9169719169719169,0.6512503634777551,0.9354838709677419,0.30526315789473685,0.4603174603174603,0.07308841333938097,0.8620383832509451,0.6276396041564116,0.32141852428593193,,,,,,,,,,,
lightgbm_clip_p01_p99,oof,lightgbm,median_clip_p01_p99,none,none,0.1159384915792043,,,,,,,,,,0.08,0.5238623751387348,0.8952892360263608,0.7221924496498009,0.5539906103286385,0.4968421052631579,0.5238623751387348,0.08070887423745686,0.8421924496498009,0.555626279564563,0.3573973898418106
lightgbm_clip_iqr,1,lightgbm,median_clip_iqr,none,none,0.11585365853658537,0.901219512195122,0.596551724137931,0.7916666666666666,0.2,0.31932773109243695,0.07964077145440326,0.8464029038112523,0.5702267821740116,0.34653273480776553,,,,,,,,,,,
lightgbm_clip_iqr,2,lightgbm,median_clip_iqr,none,none,0.11585365853658537,0.8987804878048781,0.6088929219600726,0.6875,0.23157894736842105,0.3464566929133858,0.0802305479184993,0.8670635208711434,0.5695449800812792,0.3296928283398909,,,,,,,,,,,
lightgbm_clip_iqr,3,lightgbm,median_clip_iqr,none,none,0.115995115995116,0.9010989010989011,0.6102646118057575,0.7333333333333333,0.23157894736842105,0.352,0.08701963453318258,0.8228118639139285,0.4887470724547626,0.3935968028190002,,,,,,,,,,,
lightgbm_clip_iqr,4,lightgbm,median_clip_iqr,none,none,0.115995115995116,0.9023199023199023,0.6063826693806339,0.7777777777777778,0.22105263157894736,0.3442622950819672,0.0866447498502359,0.8082582145972667,0.4850410574077006,0.4046828264513062,,,,,,,,,,,
lightgbm_clip_iqr,5,lightgbm,median_clip_iqr,none,none,0.115995115995116,0.9047619047619048,0.6169089851701076,0.7931034482758621,0.24210526315789474,0.3709677419354839,0.08091903784248224,0.8468013957545799,0.557827439546794,0.356717245588361,,,,,,,,,,,
lightgbm_clip_iqr,oof,lightgbm,median_clip_iqr,none,none,0.1159384915792043,,,,,,,,,,0.09,0.5016648168701443,0.8904076153282889,0.7102856810718126,0.5305164319248826,0.47578947368421054,0.5016648168701443,0.08288950565994453,0.8377970879711701,0.5292763067466366,0.3662307547694232
lightgbm_scale_pos_weight,1,lightgbm,raw_no_clip,none,scale_pos_weight,0.11585365853658537,0.9134146341463415,0.6674773139745916,0.7857142857142857,0.3473684210526316,0.48175182481751827,0.07202821497664974,0.8497132486388385,0.587368316349842,0.30769941925105293,,,,,,,,,,,
lightgbm_scale_pos_weight,2,lightgbm,raw_no_clip,none,scale_pos_weight,0.11585365853658537,0.9097560975609756,0.6745553539019964,0.7142857142857143,0.3684210526315789,0.4861111111111111,0.07167768469310709,0.8772413793103447,0.6000401450501573,0.27878863113904423,,,,,,,,,,,
lightgbm_scale_pos_weight,3,lightgbm,raw_no_clip,none,scale_pos_weight,0.115995115995116,0.8998778998778999,0.6370093050305321,0.6511627906976745,0.29473684210526313,0.4057971014492754,0.08387352055404909,0.8270572840942134,0.5068497455352705,0.3538280633804921,,,,,,,,,,,
